yearOfRegistration,Datasource,gender,ageBroad,majorityStatus,majorityStatusAtExploit,majorityEntry,citizenship,meansOfControlDebtBondage,meansOfControlTakesEarnings,meansOfControlRestrictsFinancialAccess,meansOfControlThreats,meansOfControlPsychologicalAbuse,meansOfControlPhysicalAbuse,meansOfControlSexualAbuse,meansOfControlFalsePromises,meansOfControlPsychoactiveSubstances,meansOfControlRestrictsMovement,meansOfControlRestrictsMedicalCare,meansOfControlExcessiveWorkingHours,meansOfControlUsesChildren,meansOfControlThreatOfLawEnforcement,meansOfControlWithholdsNecessities,meansOfControlWithholdsDocuments,meansOfControlOther,meansOfControlNotSpecified,meansOfControlConcatenated,isForcedLabour,isSexualExploit,isOtherExploit,isSexAndLabour,isForcedMarriage,isForcedMilitary,isOrganRemoval,isSlaveryAndPractices,typeOfExploitConcatenated,typeOfLabourAgriculture,typeOfLabourAquafarming,typeOfLabourBegging,typeOfLabourConstruction,typeOfLabourDomesticWork,typeOfLabourHospitality,typeOfLabourIllicitActivities,typeOfLabourManufacturing,typeOfLabourMiningOrDrilling,typeOfLabourPeddling,typeOfLabourTransportation,typeOfLabourOther,typeOfLabourNotSpecified,typeOfLabourConcatenated,typeOfSexProstitution,typeOfSexPornography,typeOfSexRemoteInteractiveServices,typeOfSexPrivateSexualServices,typeOfSexConcatenated,isAbduction,RecruiterRelationship,CountryOfExploitation,recruiterRelationIntimatePartner,recruiterRelationFriend,recruiterRelationFamily,recruiterRelationOther,recruiterRelationUnknown,record_id,Entity,Code,Year,"16.2.2 - Detected victims of human trafficking, by age and sex (number) - VC_HTF_DETV - under 18 years old - Female"
2002,Case Management,Female,27--29,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,27,Belarus,BLR,2019,10
2002,Case Management,Female,27--29,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,RS,0.0,0.0,0.0,0.0,1.0,28,Belarus,BLR,2021,19
2002,Case Management,Female,27--29,Adult,,,UA,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,MK,0.0,0.0,0.0,0.0,1.0,29,Belarus,BLR,2022,19
2002,Case Management,Female,30--38,Adult,,,CO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,,0.0,0.0,,Sexual exploitation,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,30,Belgium,BEL,2021,6
2002,Case Management,Female,30--38,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,31,Belgium,BEL,2022,11
2002,Case Management,Female,30--38,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,RS,0.0,0.0,0.0,0.0,1.0,32,Benin,BEN,2017,174
2002,Case Management,Female,30--38,Adult,,,UA,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,MK,0.0,0.0,0.0,0.0,1.0,33,Benin,BEN,2019,279
2002,Case Management,Female,9--17,Minor,,,RO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,MK,0.0,0.0,0.0,0.0,1.0,34,Benin,BEN,2020,593
2002,Case Management,Female,9--17,Minor,,,RO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,RS,0.0,0.0,0.0,0.0,1.0,35,Benin,BEN,2021,900
2002,Case Management,Female,,,,,CO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,,0.0,0.0,,Sexual exploitation,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,36,Benin,BEN,2022,675
2003,Case Management,Female,18--20,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,37,Bolivia,BOL,2009,7
2003,Case Management,Female,18--20,Adult,,,RO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,MK,0.0,0.0,0.0,0.0,1.0,38,Bolivia,BOL,2012,58
2003,Case Management,Female,21--23,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,39,Bolivia,BOL,2013,28
2003,Case Management,Female,21--23,Adult,,,RO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,BA,0.0,0.0,0.0,0.0,1.0,40,Bolivia,BOL,2014,23
2003,Case Management,Female,21--23,Adult,,,RO,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,,,,,,,,,,,,,,,,,,,,,,BA,0.0,0.0,0.0,0.0,1.0,41,Bolivia,BOL,2015,22
2003,Case Management,Female,24--26,Adult,,,MD,,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Sexual exploitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,1.0,42,Bolivia,BOL,2016,28
